uniqid,zip,from.year,from.month,from.day,to.year,to.month,to.day
244,06109,2020,3,23,2020,5,24
245,06111,2020,3,23,2020,5,24
246,06113,2020,3,23,2020,5,24
247,06115,2020,3,23,2020,5,24
248,08001,2020,3,23,2020,5,24
249,08003,2020,3,23,2020,5,24
250,08005,2020,3,23,2020,5,24
251,08007,2020,3,23,2020,5,24
252,08009,2020,3,23,2020,5,24
253,08011,2020,3,23,2020,5,24
254,08013,2020,3,23,2020,5,24
255,08014,2020,3,23,2020,5,24
256,08015,2020,3,23,2020,5,24
257,08017,2020,3,23,2020,5,24
258,08019,2020,3,23,2020,5,24
259,08021,2020,3,23,2020,5,24
260,08023,2020,3,23,2020,5,24
261,08025,2020,3,23,2020,5,24
262,08027,2020,3,23,2020,5,24
263,08029,2020,3,23,2020,5,24
264,08031,2020,3,23,2020,5,24
265,08033,2020,3,23,2020,5,24
266,08035,2020,3,23,2020,5,24
267,08037,2020,3,23,2020,5,24
268,08039,2020,3,23,2020,5,24
269,08041,2020,3,23,2020,5,24
270,08043,2020,3,23,2020,5,24
271,08045,2020,3,23,2020,5,24
272,08047,2020,3,23,2020,5,24
273,08049,2020,3,23,2020,5,24
274,08051,2020,3,23,2020,5,24
275,08053,2020,3,23,2020,5,24
276,08055,2020,3,23,2020,5,24
277,08057,2020,3,23,2020,5,24
278,08059,2020,3,23,2020,5,24
279,08061,2020,3,23,2020,5,24
280,08063,2020,3,23,2020,5,24
281,08065,2020,3,23,2020,5,24
282,08067,2020,3,23,2020,5,24
283,08069,2020,3,23,2020,5,24
284,08071,2020,3,23,2020,5,24
285,08073,2020,3,23,2020,5,24
286,08075,2020,3,23,2020,5,24
287,08077,2020,3,23,2020,5,24
288,08079,2020,3,23,2020,5,24
289,08081,2020,3,23,2020,5,24
290,08083,2020,3,23,2020,5,24
291,08085,2020,3,23,2020,5,24
292,08087,2020,3,23,2020,5,24
293,08089,2020,3,23,2020,5,24
294,08091,2020,3,23,2020,5,24
295,08093,2020,3,23,2020,5,24
296,08095,2020,3,23,2020,5,24
297,08097,2020,3,23,2020,5,24
298,08099,2020,3,23,2020,5,24
299,08101,2020,3,23,2020,5,24
300,08103,2020,3,23,2020,5,24
301,08105,2020,3,23,2020,5,24
302,08107,2020,3,23,2020,5,24
303,08109,2020,3,23,2020,5,24
304,08111,2020,3,23,2020,5,24
305,08113,2020,3,23,2020,5,24
306,08115,2020,3,23,2020,5,24
307,08117,2020,3,23,2020,5,24
308,08119,2020,3,23,2020,5,24
309,08121,2020,3,23,2020,5,24
310,08123,2020,3,23,2020,5,24
311,08125,2020,3,23,2020,5,24
312,09001,2020,3,23,2020,5,24
313,09003,2020,3,23,2020,5,24
314,09005,2020,3,23,2020,5,24
315,09007,2020,3,23,2020,5,24
316,09009,2020,3,23,2020,5,24
317,09011,2020,3,23,2020,5,24
318,09013,2020,3,23,2020,5,24
319,09015,2020,3,23,2020,5,24
320,10001,2020,3,23,2020,5,24
321,10003,2020,3,23,2020,5,24
322,10005,2020,3,23,2020,5,24
323,11001,2020,3,23,2020,5,24
324,12001,2020,3,23,2020,5,24
325,12003,2020,3,23,2020,5,24
326,12005,2020,3,23,2020,5,24
327,12007,2020,3,23,2020,5,24
328,12009,2020,3,23,2020,5,24
329,12011,2020,3,23,2020,5,24
330,12013,2020,3,23,2020,5,24
331,12015,2020,3,23,2020,5,24
332,12017,2020,3,23,2020,5,24
333,12019,2020,3,23,2020,5,24
334,12021,2020,3,23,2020,5,24
335,12023,2020,3,23,2020,5,24
336,12027,2020,3,23,2020,5,24
337,12029,2020,3,23,2020,5,24
338,12031,2020,3,23,2020,5,24
339,12033,2020,3,23,2020,5,24
340,12035,2020,3,23,2020,5,24
341,12037,2020,3,23,2020,5,24
342,12039,2020,3,23,2020,5,24
343,12041,2020,3,23,2020,5,24
344,12043,2020,3,23,2020,5,24
345,12045,2020,3,23,2020,5,24
346,12047,2020,3,23,2020,5,24
347,12049,2020,3,23,2020,5,24
348,12051,2020,3,23,2020,5,24
349,12053,2020,3,23,2020,5,24
350,12055,2020,3,23,2020,5,24
351,12057,2020,3,23,2020,5,24
352,12059,2020,3,23,2020,5,24
353,12061,2020,3,23,2020,5,24
354,12063,2020,3,23,2020,5,24
355,12065,2020,3,23,2020,5,24
356,12067,2020,3,23,2020,5,24
357,12069,2020,3,23,2020,5,24
358,12071,2020,3,23,2020,5,24
359,12073,2020,3,23,2020,5,24
360,12075,2020,3,23,2020,5,24
361,12077,2020,3,23,2020,5,24
362,12079,2020,3,23,2020,5,24
363,12081,2020,3,23,2020,5,24
364,12083,2020,3,23,2020,5,24
365,12085,2020,3,23,2020,5,24
366,12086,2020,3,23,2020,5,24
367,12087,2020,3,23,2020,5,24
