,date,Province_State,Confirmed,Deaths,Recovered,Active
1143,2020-03-31,Missouri,1357,15.0,0.0,1342.0
1144,2020-03-31,Montana,198,5.0,0.0,193.0
1145,2020-03-31,Nebraska,172,3.0,0.0,169.0
1146,2020-03-31,Nevada,1114,26.0,0.0,1088.0
1147,2020-03-31,New Hampshire,357,3.0,0.0,354.0
1148,2020-03-31,New Jersey,18696,267.0,0.0,18429.0
1149,2020-03-31,New Mexico,315,4.0,0.0,311.0
1150,2020-03-31,New York,75833,1550.0,0.0,74283.0
1151,2020-03-31,North Carolina,1535,12.0,0.0,1523.0
1152,2020-03-31,North Dakota,122,3.0,0.0,119.0
1153,2020-03-31,Northern Mariana Islands,2,0.0,0.0,2.0
1154,2020-03-31,Ohio,2199,55.0,0.0,2144.0
1155,2020-03-31,Oklahoma,568,23.0,0.0,545.0
1156,2020-03-31,Oregon,690,18.0,0.0,672.0
1157,2020-03-31,Pennsylvania,4963,63.0,0.0,4900.0
1158,2020-03-31,Puerto Rico,239,8.0,0.0,231.0
1159,2020-03-31,Recovered,0,0.0,7024.0,-7024.0
1160,2020-03-31,Rhode Island,488,8.0,0.0,480.0
1161,2020-03-31,South Carolina,1083,22.0,0.0,1061.0
1162,2020-03-31,South Dakota,108,1.0,0.0,107.0
1163,2020-03-31,Tennessee,2391,23.0,0.0,2368.0
1164,2020-03-31,Texas,3809,54.0,0.0,3755.0
1165,2020-03-31,Utah,888,5.0,0.0,883.0
1166,2020-03-31,Vermont,293,13.0,0.0,280.0
1167,2020-03-31,Virgin Islands,30,0.0,0.0,30.0
1168,2020-03-31,Virginia,1249,27.0,0.0,1222.0
1169,2020-03-31,Washington,5432,225.0,0.0,5207.0
1170,2020-03-31,West Virginia,162,1.0,0.0,161.0
1171,2020-03-31,Wisconsin,1412,25.0,0.0,1387.0
1172,2020-03-31,Wyoming,109,0.0,0.0,109.0
1173,2020-04-01,Alabama,1060,27.0,0.0,1033.0
1174,2020-04-01,Alaska,132,3.0,0.0,129.0
1175,2020-04-01,Arizona,1530,29.0,0.0,1501.0
1176,2020-04-01,Arkansas,584,10.0,0.0,574.0
1177,2020-04-01,California,9399,199.0,0.0,9200.0
1178,2020-04-01,Colorado,2982,69.0,0.0,2913.0
1179,2020-04-01,Connecticut,3557,85.0,0.0,3472.0
1180,2020-04-01,Delaware,368,11.0,0.0,357.0
1181,2020-04-01,District of Columbia,586,9.0,0.0,577.0
1182,2020-04-01,Florida,6956,87.0,0.0,6869.0
1183,2020-04-01,Georgia,4638,139.0,0.0,4499.0
1184,2020-04-01,Grand Princess,103,3.0,0.0,100.0
1185,2020-04-01,Guam,77,3.0,0.0,74.0
1186,2020-04-01,Hawaii,224,1.0,0.0,223.0
1187,2020-04-01,Idaho,566,9.0,0.0,557.0
1188,2020-04-01,Illinois,6980,141.0,0.0,6839.0
1189,2020-04-01,Indiana,2564,65.0,0.0,2499.0
1190,2020-04-01,Iowa,547,9.0,0.0,538.0
1191,2020-04-01,Kansas,485,10.0,0.0,475.0
1192,2020-04-01,Kentucky,632,18.0,0.0,614.0
1193,2020-04-01,Louisiana,6424,273.0,0.0,6151.0
1194,2020-04-01,Maine,303,5.0,0.0,298.0
1195,2020-04-01,Maryland,1986,31.0,0.0,1955.0
1196,2020-04-01,Massachusetts,7738,122.0,0.0,7616.0
1197,2020-04-01,Michigan,9315,335.0,0.0,8980.0
1198,2020-04-01,Minnesota,689,17.0,0.0,672.0
1199,2020-04-01,Mississippi,1073,22.0,0.0,1051.0
1200,2020-04-01,Missouri,1613,18.0,0.0,1595.0
1201,2020-04-01,Montana,208,6.0,0.0,202.0
1202,2020-04-01,Nebraska,210,4.0,0.0,206.0
1203,2020-04-01,Nevada,1279,31.0,0.0,1248.0
1204,2020-04-01,New Hampshire,367,3.0,0.0,364.0
1205,2020-04-01,New Jersey,22255,355.0,0.0,21900.0
1206,2020-04-01,New Mexico,340,5.0,0.0,335.0
