date,Max,Avg,Min,State
2020/5/2,81,70.4,57,Kansas
2020/5/2,78,64.4,49,Kentucky
2020/5/2,83,71.9,57,Louisiana
2020/5/2,65,53.9,41,Maine
2020/5/2,73,62.4,51,Maryland
2020/5/2,69,57.9,46,Massachusetts
2020/5/2,74,63,53,Michigan
2020/5/2,74,64.6,56,Minnesota
2020/5/2,83,70,56,Mississippi 
2020/5/2,86,73.1,60,Missouri
2020/5/2,70,54.1,34,Montana
2020/5/2,73,64.6,55,Nebraska 
2020/5/2,70,58.2,45,Nevada
2020/5/2,70,58.7,46,New Hampshire
2020/5/2,70,61.4,50,New Jersey
2020/5/2,82,66.3,44,New Mexico
2020/5/2,72,63.6,53,New York
2020/5/2,74,60.4,43,North Carolina
2020/5/2,72,59,45,North Dakota
2020/5/2,79,64,49,Ohio
2020/5/2,85,74.2,64,Oklahoma
2020/5/2,56,52.1,46,Oregon
2020/5/2,53,49.7,47,Wyoming
2020/5/2,74,64.9,56,Wisconsin
2020/5/2,80,58.2,40,West Virginia
2020/5/2,58,53.3,47,Washington
2020/5/2,71,60,46,Virginia
2020/5/2,67,54.2,36,Vermont
2020/5/2,74,63.8,51,Utah
2020/5/2,90,75.9,67,Texas
2020/5/2,85,71,54,Tennessee
2020/5/2,72,58.6,45,South Dakota
2020/5/2,81,64.1,46,South Carolina
2020/5/2,71,59.8,48,Rhode Island
2020/5/2,71,60.8,49,Pennsylvania
2020/5/3,87,71.7,56,Alabama
2020/5/3,56,48.4,44,Alaska
2020/5/3,96,85.2,71,Arizona 
2020/5/3,79,71.8,64, Arkansas
2020/5/3,78,63.3,48,California
2020/5/3,73,55.1,45,Colorado
2020/5/3,80,65.7,54,Connecticut 
2020/5/3,77,65.5,56,Delaware
2020/5/3,87,69.8,53,Florida
2020/5/3,84,72.7,59,Georgia
2020/5/3,84,78.5,75,Hawaii
2020/5/3,63,54.3,44,Idaho
2020/5/3,68,61.6,52,Illinois
2020/5/3,72,61.6,49,Indiana
2020/5/3,77,63.3,51,Iowa
2020/5/3,76,67.2,60,Kansas
2020/5/3,77,66.8,60,Kentucky
2020/5/3,83,73.6,62,Louisiana
2020/5/3,69,56,45,Maine
2020/5/3,80,67.7,60,Maryland
2020/5/3,78,65.5,53,Massachusetts
2020/5/3,70,60.7,48,Michigan
2020/5/3,66,56.6,48,Minnesota
2020/5/3,85,72.2,60,Mississippi 
2020/5/3,72,66,57,Missouri
2020/5/3,60,51.8,42,Montana
2020/5/3,78,65.7,52,Nebraska 
2020/5/3,68,57.3,46,Nevada
2020/5/3,80,67.1,55,New Hampshire
2020/5/3,77,65.4,54,New Jersey
2020/5/3,82,66,45,New Mexico
2020/5/3,80,68.7,55,New York
2020/5/3,85,70.7,54,North Carolina
2020/5/3,65,47.5,35,North Dakota
2020/5/3,71,66.4,59,Ohio
2020/5/3,80,71.5,65,Oklahoma
2020/5/3,60,50.1,43,Oregon
2020/5/3,67,50.7,44,Wyoming
2020/5/3,73,60.5,45,Wisconsin
2020/5/3,80,66.8,60,West Virginia
2020/5/3,56,48.9,44,Washington
2020/5/3,86,72.3,58,Virginia
2020/5/3,75,63.6,51,Vermont
2020/5/3,69,63.5,57,Utah
